model,sample,orientation,housing,dimming,rack,branch,socket
6,19,u,1,0,5,7,9
6,20,u,1,0,5,7,10
6,21,u,0,1,3,4,6
6,22,u,0,1,3,4,7
6,23,u,0,1,3,4,8
6,24,d,0,1,3,2,1
6,25,d,0,1,3,2,2
6,26,h,0,1,3,7,1
6,27,h,0,1,3,7,2
6,28,u,1,1,4,6,6
6,29,u,1,1,4,6,7
6,30,u,1,1,4,6,8
6,31,d,0,0,1,3,6
7,1,d,0,0,5,1,1
7,2,d,0,0,5,1,2
7,3,d,0,0,5,1,3
7,4,d,0,0,5,1,4
7,5,d,0,0,5,1,5
7,6,u,0,0,5,2,1
7,7,u,0,0,5,2,2
7,8,u,0,0,5,2,3
7,9,u,0,0,5,2,4
7,10,u,0,0,5,2,5
7,11,h,0,0,5,3,1
7,12,h,0,0,5,3,2
7,13,h,0,0,5,3,3
7,14,h,0,0,5,3,4
7,15,h,0,0,5,3,5
7,16,u,1,0,5,4,1
7,17,u,1,0,5,4,2
7,18,u,1,0,5,4,3
7,19,u,1,0,5,4,4
7,20,u,1,0,5,4,5
7,21,d,0,1,4,2,1
7,22,d,0,1,4,2,2
7,23,u,0,1,4,2,3
7,24,u,0,1,4,2,4
7,25,u,0,1,4,2,5
7,26,h,0,1,4,2,6
7,27,h,0,1,4,2,7
7,28,u,1,1,4,1,1
7,29,u,1,1,4,1,2
7,30,u,1,1,4,1,3
7,31,d,0,0,1,2,1
8,1,d,0,0,5,1,6
8,2,d,0,0,5,1,7
8,3,d,0,0,5,1,8
8,4,d,0,0,5,1,9
8,5,d,0,0,5,1,10
8,6,u,0,0,5,2,6
8,7,u,0,0,5,2,7
8,8,u,0,0,5,2,8
8,9,u,0,0,5,2,9
8,10,u,0,0,5,2,10
8,11,h,0,0,5,3,6
8,12,h,0,0,5,3,7
8,13,h,0,0,5,3,8
8,14,h,0,0,5,3,9
8,15,h,0,0,5,3,10
8,16,u,1,0,5,4,6
8,17,u,1,0,5,4,7
8,18,u,1,0,5,4,8
8,19,u,1,0,5,4,9
8,20,u,1,0,5,4,10
8,21,u,0,1,4,1,7
8,22,u,0,1,4,1,8
8,23,h,0,1,4,1,9
8,24,h,0,1,4,1,10
8,25,u,0,1,4,2,8
8,26,d,0,1,4,2,9
8,27,d,0,1,4,2,10
8,28,u,1,1,4,1,4
8,29,u,1,1,4,1,5
8,30,u,1,1,4,1,6
8,31,d,0,0,1,2,2
9,1,d,0,0,8,5,6
9,2,d,0,0,8,5,7
9,3,d,0,0,8,5,8
9,4,d,0,0,8,5,9
9,5,d,0,0,8,5,10
9,6,u,0,0,8,8,1
9,7,u,0,0,8,8,2
9,8,u,0,0,8,8,3
9,9,u,0,0,8,8,4
9,10,u,0,0,8,8,5
9,11,h,0,0,8,4,1
9,12,h,0,0,8,4,2
9,13,h,0,0,8,4,3
9,14,h,0,0,8,4,4
9,15,h,0,0,8,4,5
9,16,u,1,0,1,6,7
9,17,u,1,0,5,8,2
9,18,u,1,0,5,8,3
9,19,u,1,0,5,8,4
9,20,u,1,0,5,8,5
9,21,u,0,1,3,4,9
9,22,u,0,1,3,4,10
9,23,u,0,1,3,5,1
9,24,d,0,1,3,2,3
9,25,d,0,1,3,2,4
9,26,h,0,1,3,7,3
9,27,h,0,1,3,7,4
9,28,u,1,1,4,6,9
9,29,u,1,1,4,6,10
9,30,u,1,1,4,7,1
9,31,d,0,0,1,3,7
10,1,d,0,0,8,5,1
10,2,d,0,0,8,5,2
10,3,d,0,0,8,5,3
10,4,d,0,0,8,5,4
10,5,d,0,0,8,5,5
10,6,u,0,0,8,8,6
10,7,u,0,0,8,8,7
10,8,u,0,0,8,8,8
10,9,u,0,0,8,8,9
10,10,u,0,0,8,8,10
10,11,h,0,0,8,4,6
10,12,h,0,0,8,4,7
10,13,h,0,0,8,4,8
10,14,h,0,0,8,4,9
10,15,h,0,0,8,4,10
10,16,u,1,0,1,6,8
10,17,u,1,0,5,8,7
10,18,u,1,0,5,8,8
10,19,u,1,0,5,8,9
10,20,u,1,0,5,8,10
10,21,u,0,1,3,5,2
10,22,u,0,1,3,5,3
10,23,u,0,1,3,5,4
10,24,d,0,1,3,2,5
10,25,d,0,1,3,2,6
10,26,h,0,1,3,7,5
10,27,h,0,1,3,7,6
10,28,u,1,1,4,7,2
10,29,u,1,1,4,7,3
10,30,u,1,1,4,7,4
10,31,d,0,0,1,3,8
11,1,u,0,0,7,4,6
11,2,u,0,0,7,4,7
11,3,u,0,0,7,4,8
11,4,u,0,0,7,4,9
11,5,u,0,0,7,4,10
11,6,d,0,0,7,1,1
11,7,d,0,0,7,1,2
11,8,d,0,0,7,1,3
11,9,d,0,0,7,1,4
11,10,d,0,0,7,1,5
11,11,h,0,0,6,3,1
11,12,h,0,0,6,3,2
11,13,h,0,0,6,3,3
11,14,h,0,0,6,3,4
11,15,h,0,0,6,3,5
11,16,u,1,0,1,6,9
11,17,u,1,0,5,8,1
11,18,u,1,0,5,5,1
11,19,u,1,0,5,5,6
11,20,u,1,0,1,5,5
11,21,d,0,1,2,1,7
11,22,d,0,0,1,4,1
11,23,d,0,1,2,1,8
11,24,h,0,1,2,5,7
11,25,h,0,1,2,5,8
11,26,u,0,1,3,5,5
