project,model,sample,orientation,housing,dimming,rack,branch,socket,manufacturer,productName,lampShapeSize,lastHours
ledLifeTesting,2,30,u,1,1,4,5,6,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,31,d,0,0,1,3,2,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,3,1,d,0,0,4,4,1,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,2,d,0,0,4,4,2,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,3,d,0,0,4,4,3,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,4,d,0,0,4,4,4,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,5,d,0,0,4,4,5,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,6,u,0,0,8,6,1,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,7,u,0,0,8,6,2,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,8,u,0,0,8,6,3,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,9,u,0,0,8,6,4,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,10,u,0,0,8,6,5,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,11,h,0,0,8,2,1,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,12,h,0,0,8,2,2,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,13,h,0,0,8,2,3,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,14,h,0,0,8,2,4,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,15,h,0,0,8,2,5,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,16,u,1,0,1,5,8,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,17,u,1,0,5,6,2,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,18,u,1,0,5,6,3,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,19,u,1,0,5,6,4,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,20,u,1,0,5,6,5,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,21,u,0,1,3,3,7,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,22,u,0,1,3,3,8,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,23,u,0,1,3,3,9,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,24,d,0,1,3,1,5,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,25,d,0,1,3,1,6,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,26,h,0,1,3,6,5,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,27,h,0,1,3,6,6,TCP,LED9E26P2027KNFL,PAR20,3000
